	accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
0	OK649668	OK649668.1	OK649668	1956-XX-XX	North America	USA			Homo sapiens	2021-11-07		Wang et al		Wang,L., Ng,T.F.F., Castro,C.J., Marine,R.L., Magana,L.C., Esona,M., Peret,T.C.T., Thornburg,N.J.	
1	MG642073	MG642073.1	MG642073	1979-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
2	MG642028	MG642028.1	MG642028	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
3	MG642032	MG642032.1	MG642032	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
4	MG642040	MG642040.1	MG642040	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
5	MG642058	MG642058.1	MG642058	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
6	MG642060	MG642060.1	MG642060	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
7	MG642074	MG642074.1	MG642074	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
8	MG642024	MG642024.1	MG642024	1981-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
9	MG642026	MG642026.1	MG642026	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.	
