accession	strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	region	country	division	location	host	date_submitted	sra_accession	authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil	clade	escape	qc.overallScore	qc.overallStatus	missing_data	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	cdsCoverage	F_coverage	G_coverage
PP_00206NF	Japan/PP_00206NF.1/2007-04-03	2007-04-03	PP_00206NF.1	https://pathoplexus.org/seq/PP_00206NF.1	AB603469.1	https://www.ncbi.nlm.nih.gov/nuccore/AB603469.1	Asia	Japan	Niigata			2010-12-11		Yamaguchi, M.; Sano, Y.; Dapat, I. C.; Saito, R.; Suzuki, Y.; Kumaki, A.; Shobugawa, Y.; Dapat, C.; Uchiyama, M.; Suzuki, H.	Graduate School of Medical and Dental Sciences, Division of Public Health, Department of Infectious Disease Control and Internal Medicine; Chuou-ku Asahimachi-dori 1-757, Niigata-City, Niigata 951-8510	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	938	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
PP_0020CWT	South_Korea/PP_0020CWT.1/1991-04	1991-04-XX	PP_0020CWT.1	https://pathoplexus.org/seq/PP_0020CWT.1	AF193332.1	https://www.ncbi.nlm.nih.gov/nuccore/AF193332.1	Asia	South Korea	Seoul			1999-12-27		Choi, E. H.; Lee, H. J.	Seoul National University Children's Hospital, Department of Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.3	0	0	good	0	2204	4703	5666	0.06332939166995138	G:0.9389067524115756	0.0	0.9389067524115756
PP_0020CVV	South_Korea/PP_0020CVV.1/1991-03	1991-03-XX	PP_0020CVV.1	https://pathoplexus.org/seq/PP_0020CVV.1	AF193331.1	https://www.ncbi.nlm.nih.gov/nuccore/AF193331.1	Asia	South Korea	Seoul			1999-12-27		Choi, E. H.; Lee, H. J.	Seoul National University Children's Hospital, Department of Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.3	0	0	good	0	2201	4703	5666	0.06332939166995138	G:0.9389067524115756	0.0	0.9389067524115756
PP_0021CTX	Spain/PP_0021CTX.1/2004-12-18	2004-12-18	PP_0021CTX.1	https://pathoplexus.org/seq/PP_0021CTX.1	GQ150712.1	https://www.ncbi.nlm.nih.gov/nuccore/GQ150712.1	Europe	Spain	Madrid			2010-06-10		Trento, A.; Casas, I.; Calderon, A.; Garcia-Garcia, M. L.; Calvo, C.; Perez-Brena, P.; Melero, J. A.	Instituto de Salud Carlos III, Unidad de Biologia Viral and Laboratorio de Virus Respiratorios	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	1341	5135	5605	0.030942057548285377	G:0.4758842443729904	0.0	0.4758842443729904
PP_0021CQ3	Spain/PP_0021CQ3.1/2004-12-11	2004-12-11	PP_0021CQ3.1	https://pathoplexus.org/seq/PP_0021CQ3.1	GQ150709.1	https://www.ncbi.nlm.nih.gov/nuccore/GQ150709.1	Europe	Spain	Madrid			2010-06-10		Trento, A.; Casas, I.; Calderon, A.; Garcia-Garcia, M. L.; Calvo, C.; Perez-Brena, P.; Melero, J. A.	Instituto de Salud Carlos III, Unidad de Biologia Viral and Laboratorio de Virus Respiratorios	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	1325	5135	5605	0.030942057548285377	G:0.4758842443729904	0.0	0.4758842443729904
PP_0021MWG	Japan/PP_0021MWG.1/2005-12-12	2005-12-12	PP_0021MWG.1	https://pathoplexus.org/seq/PP_0021MWG.1	HM459865.1	https://www.ncbi.nlm.nih.gov/nuccore/HM459865.1	Asia	Japan	Niigata			2010-07-18		Dapat, I. C.; Shobugawa, Y.; Sano, Y.; Saito, R.; Sasaki, A.; Suzuki, Y.; Kumaki, A.; Zaraket, H.; Dapat, C.; Oguma, T.; Yamaguchi, M.; Suzuki, H.	Niigata University Graduate School of Medical and Dental Sciences, Division of Public Health, Department of Infectious Control and International Medicine	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	934	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
PP_0021QAL	South_Korea/PP_0021QAL.1/2008-10	2008-10-XX	PP_0021QAL.1	https://pathoplexus.org/seq/PP_0021QAL.1	HQ699308.1	https://www.ncbi.nlm.nih.gov/nuccore/HQ699308.1	Asia	South Korea				2011-07-13		Baek, Y. H.; Choi, E. H.; Song, M. S.; Pascua, P. N.; Kwon, H. I.; Park, S. J.; Lee, J. H.; Woo, S. I.; Ahn, B. H.; Han, H. S.; Hahn, Y. S.; Shin, K. S.; Jang, H. L.; Kim, S. Y.; Choi, Y. K.; Park, S.-J.; Song, M.-S.; Choi, Y.-K.	Chungbuk National University, College of Medicine and Medical Research Institute	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	2683	4646	5578	0.061292865589278676	G:1	0.0	1.0
PP_0021SG6	United_Kingdom/PP_0021SG6.1/1994	1994-XX-XX	PP_0021SG6.1	https://pathoplexus.org/seq/PP_0021SG6.1	HQ731722.1	https://www.ncbi.nlm.nih.gov/nuccore/HQ731722.1	Europe	United Kingdom	England			2011-02-14		Gaunt, E. R.; Jansen, R. R.; Poovorawan, Y.; Templeton, K. E.; Toms, G. L.; Simmonds, P.	University of Edinburgh, Centre for Infectious Diseases	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.3	0	0	good	0	2148	4826	5695	0.057154119038234134	F:0.010434782608695653,G:0.8070739549839229	0.010434782608695653	0.8070739549839229
PP_0021T4V	Thailand/PP_0021T4V.1/2006	2006-XX-XX	PP_0021T4V.1	https://pathoplexus.org/seq/PP_0021T4V.1	HQ731781.1	https://www.ncbi.nlm.nih.gov/nuccore/HQ731781.1	Asia	Thailand				2011-02-14		Gaunt, E. R.; Jansen, R. R.; Poovorawan, Y.; Templeton, K. E.; Toms, G. L.; Simmonds, P.	University of Edinburgh, Centre for Infectious Diseases	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.1	0	0	good	0	2441	4832	5691	0.05649717514124294	F:0.008695652173913044,G:0.797427652733119	0.008695652173913044	0.797427652733119
PP_0021YW5	Hong_Kong/PP_0021YW5.1/2010-08-01	2010-08-01	PP_0021YW5.1	https://pathoplexus.org/seq/PP_0021YW5.1	JN968355.1	https://www.ncbi.nlm.nih.gov/nuccore/JN968355.1	Asia	Hong Kong				2012-01-10		Mak, G. C.; Lau, C. S.; Chiu, D. M. Y.; Lim, W.	Public Health Laboratory Services Branch, Centre for Health Protection, Department of Health, Virology Division	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	942	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
PP_00221LL	Croatia/PP_00221LL.1/2008	2008-XX-XX	PP_00221LL.1	https://pathoplexus.org/seq/PP_00221LL.1	JQ844870.1	https://www.ncbi.nlm.nih.gov/nuccore/JQ844870.1	Europe	Croatia				2012-06-24		Forcic, D.; Ivancic-Jelecki, J.; Mlinaric-Galinovic, G.; Vojnovic, G.; Babic-Erceg, A.; Tabain, I.	Institute of Immunology, Research & Development	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.1	0	0	good	0	918	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
PP_00221NG	Croatia/PP_00221NG.1/2006	2006-XX-XX	PP_00221NG.1	https://pathoplexus.org/seq/PP_00221NG.1	JQ844872.1	https://www.ncbi.nlm.nih.gov/nuccore/JQ844872.1	Europe	Croatia				2012-06-24		Forcic, D.; Ivancic-Jelecki, J.; Mlinaric-Galinovic, G.; Vojnovic, G.; Babic-Erceg, A.; Tabain, I.	Institute of Immunology, Research & Development	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	938	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
